epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1159.31,0.50856,0.26161,0.91638,0.99786,0.99217,0.99244,0.91523,0.43719,0.18648,0.8535,0.0005941,0.0005941,0.0005941
43,1186.54,0.50401,0.2611,0.91715,0.99704,0.99217,0.9925,0.91437,0.43617,0.18229,0.85041,0.0005842,0.0005842,0.0005842
44,1213.73,0.50103,0.25789,0.91553,0.99535,0.99217,0.99147,0.91464,0.43192,0.18562,0.84832,0.0005743,0.0005743,0.0005743
45,1241.12,0.49224,0.25458,0.91129,0.99543,0.99217,0.99228,0.92245,0.432,0.1828,0.84958,0.0005644,0.0005644,0.0005644
46,1268.7,0.49426,0.25443,0.91145,0.99734,0.99217,0.99248,0.92306,0.42807,0.18373,0.84647,0.0005545,0.0005545,0.0005545
47,1296.26,0.49622,0.25585,0.91294,0.99846,0.99217,0.99257,0.91918,0.43109,0.18105,0.84753,0.0005446,0.0005446,0.0005446
48,1323.56,0.49416,0.2502,0.91555,0.99847,0.99217,0.99257,0.92045,0.43063,0.17763,0.85052,0.0005347,0.0005347,0.0005347
49,1351.06,0.49539,0.25015,0.9099,0.99901,0.99217,0.99248,0.91893,0.42615,0.18001,0.84864,0.0005248,0.0005248,0.0005248
50,1378.48,0.48849,0.24965,0.9098,0.99723,0.99217,0.99265,0.91715,0.43579,0.18336,0.85265,0.0005149,0.0005149,0.0005149
51,1406.18,0.4949,0.24903,0.91182,0.99775,0.99217,0.99197,0.92245,0.42866,0.18258,0.84867,0.000505,0.000505,0.000505
52,1433.49,0.48389,0.24896,0.90811,0.99521,0.99217,0.99185,0.92139,0.42433,0.184,0.84718,0.0004951,0.0004951,0.0004951
53,1461.06,0.49017,0.25039,0.91271,0.99724,0.99217,0.99229,0.92267,0.42275,0.17753,0.84589,0.0004852,0.0004852,0.0004852
54,1488.21,0.48948,0.24463,0.91093,0.99884,0.99217,0.99238,0.92174,0.42159,0.17528,0.8462,0.0004753,0.0004753,0.0004753
55,1515.66,0.48178,0.24469,0.9087,0.9981,0.99217,0.99262,0.92274,0.42671,0.17889,0.84749,0.0004654,0.0004654,0.0004654
56,1543.09,0.48202,0.24224,0.90547,0.99927,0.99217,0.99233,0.92381,0.42201,0.17589,0.84596,0.0004555,0.0004555,0.0004555
57,1570.38,0.48175,0.24156,0.90586,0.99735,0.99217,0.99268,0.92377,0.42024,0.17588,0.84528,0.0004456,0.0004456,0.0004456
58,1597.5,0.48654,0.24085,0.90947,0.99864,0.99204,0.99262,0.92077,0.4197,0.17195,0.84313,0.0004357,0.0004357,0.0004357
59,1625.26,0.48108,0.23788,0.90814,0.99847,0.99217,0.9925,0.92325,0.41947,0.17049,0.84378,0.0004258,0.0004258,0.0004258
60,1652.77,0.4779,0.23684,0.9039,0.99817,0.99217,0.99268,0.92528,0.41835,0.1737,0.84411,0.0004159,0.0004159,0.0004159
61,1680.45,0.47207,0.23432,0.90224,0.99876,0.99217,0.99268,0.92365,0.42194,0.17595,0.8467,0.000406,0.000406,0.000406
62,1707.64,0.47307,0.23369,0.90513,0.99921,0.99217,0.99262,0.92629,0.41667,0.1658,0.84288,0.0003961,0.0003961,0.0003961
63,1734.88,0.46858,0.23317,0.90269,0.99758,0.99217,0.99246,0.92645,0.42105,0.16732,0.84544,0.0003862,0.0003862,0.0003862
64,1762.35,0.4721,0.23151,0.90255,0.99693,0.99217,0.99265,0.92286,0.4186,0.1698,0.84347,0.0003763,0.0003763,0.0003763
65,1789.66,0.47053,0.23214,0.903,0.99886,0.99217,0.99255,0.92382,0.42185,0.16792,0.84412,0.0003664,0.0003664,0.0003664
66,1817.08,0.46513,0.2305,0.90095,0.99733,0.99217,0.99262,0.92144,0.419,0.1687,0.84506,0.0003565,0.0003565,0.0003565
67,1844.56,0.46819,0.22892,0.90366,0.99731,0.99217,0.99265,0.92536,0.41678,0.17001,0.84447,0.0003466,0.0003466,0.0003466
68,1872.04,0.46322,0.23018,0.89976,0.99833,0.99217,0.99268,0.92469,0.41661,0.16647,0.84194,0.0003367,0.0003367,0.0003367
69,1899.38,0.46417,0.22871,0.89875,0.99845,0.99217,0.99265,0.92654,0.41712,0.16588,0.84255,0.0003268,0.0003268,0.0003268
70,1927.1,0.46508,0.2289,0.90138,0.99917,0.99217,0.99262,0.92471,0.41671,0.16442,0.84282,0.0003169,0.0003169,0.0003169
